text,species,allergies
My guinea pig cannot eat spinach.,guinea pig,spinach
My guinea pig is sensitive to spinach.,guinea pig,spinach
My guinea pig is allergic to spinach.,guinea pig,spinach
My cat cannot eat beef.,cat,beef
My cat is sensitive to beef.,cat,beef
My cat is allergic to beef.,cat,beef
My cat cannot eat chicken.,cat,chicken
My cat is sensitive to chicken.,cat,chicken
My cat is allergic to chicken.,cat,chicken
My cat cannot eat pork.,cat,pork
My cat is sensitive to pork.,cat,pork
My cat is allergic to pork.,cat,pork
My bird cannot eat rice.,bird,rice
My bird is sensitive to rice.,bird,rice
My bird is allergic to rice.,bird,rice
My bird cannot eat banana.,bird,banana
My bird is sensitive to banana.,bird,banana
My bird is allergic to banana.,bird,banana
My guinea pig cannot eat apple.,guinea pig,apple
My guinea pig is sensitive to apple.,guinea pig,apple
My guinea pig is allergic to apple.,guinea pig,apple
My bird cannot eat apple.,bird,apple
My bird is sensitive to apple.,bird,apple
My bird is allergic to apple.,bird,apple
My bird cannot eat pea.,bird,pea
My bird is sensitive to pea.,bird,pea
My bird is allergic to pea.,bird,pea
My dog cannot eat beef.,dog,beef
My dog is sensitive to beef.,dog,beef
My dog is allergic to beef.,dog,beef
My dog cannot eat potato.,dog,potato
My dog is sensitive to potato.,dog,potato
My dog is allergic to potato.,dog,potato
My guinea pig cannot eat apricots.,guinea pig,apricots
My guinea pig is sensitive to apricots.,guinea pig,apricots
My guinea pig is allergic to apricots.,guinea pig,apricots
My cat cannot eat fish.,cat,fish
My cat is sensitive to fish.,cat,fish
My cat is allergic to fish.,cat,fish
My cat cannot eat rice.,cat,rice
My cat is sensitive to rice.,cat,rice
My cat is allergic to rice.,cat,rice
My bird cannot eat carrot.,bird,carrot
My bird is sensitive to carrot.,bird,carrot
My bird is allergic to carrot.,bird,carrot
My dog cannot eat corn.,dog,corn
My dog is sensitive to corn.,dog,corn
My dog is allergic to corn.,dog,corn
My bird cannot eat wheat.,bird,wheat
My bird is sensitive to wheat.,bird,wheat
My bird is allergic to wheat.,bird,wheat
My dog cannot eat rice.,dog,rice
My dog is sensitive to rice.,dog,rice
My dog is allergic to rice.,dog,rice
My dog cannot eat pea.,dog,pea
My dog is sensitive to pea.,dog,pea
My dog is allergic to pea.,dog,pea
My bird cannot eat soy.,bird,soy
My bird is sensitive to soy.,bird,soy
My bird is allergic to soy.,bird,soy
My guinea pig cannot eat blueberry.,guinea pig,blueberry
My guinea pig is sensitive to blueberry.,guinea pig,blueberry
My guinea pig is allergic to blueberry.,guinea pig,blueberry
My guinea pig cannot eat pumpkin.,guinea pig,pumpkin
My guinea pig is sensitive to pumpkin.,guinea pig,pumpkin
My guinea pig is allergic to pumpkin.,guinea pig,pumpkin
My dog cannot eat chicken.,dog,chicken
My dog is sensitive to chicken.,dog,chicken
My dog is allergic to chicken.,dog,chicken
My bird cannot eat cranberry.,bird,cranberry
My bird is sensitive to cranberry.,bird,cranberry
My bird is allergic to cranberry.,bird,cranberry
My bird cannot eat fish.,bird,fish
My bird is sensitive to fish.,bird,fish
My bird is allergic to fish.,bird,fish
My dog cannot eat lamb.,dog,lamb
My dog is sensitive to lamb.,dog,lamb
My dog is allergic to lamb.,dog,lamb
My guinea pig cannot eat soy.,guinea pig,soy
My guinea pig is sensitive to soy.,guinea pig,soy
My guinea pig is allergic to soy.,guinea pig,soy
My dog cannot eat soy.,dog,soy
My dog is sensitive to soy.,dog,soy
My dog is allergic to soy.,dog,soy
My guinea pig cannot eat barley.,guinea pig,barley
My guinea pig is sensitive to barley.,guinea pig,barley
My guinea pig is allergic to barley.,guinea pig,barley
My dog cannot eat pork.,dog,pork
My dog is sensitive to pork.,dog,pork
My dog is allergic to pork.,dog,pork
My guinea pig cannot eat pea.,guinea pig,pea
My guinea pig is sensitive to pea.,guinea pig,pea
My guinea pig is allergic to pea.,guinea pig,pea
My cat cannot eat wheat.,cat,wheat
My cat is sensitive to wheat.,cat,wheat
My cat is allergic to wheat.,cat,wheat
My guinea pig cannot eat wheat.,guinea pig,wheat
My guinea pig is sensitive to wheat.,guinea pig,wheat
My guinea pig is allergic to wheat.,guinea pig,wheat
My bird cannot eat strawberry.,bird,strawberry
My bird is sensitive to strawberry.,bird,strawberry
My bird is allergic to strawberry.,bird,strawberry
My guinea pig cannot eat oat.,guinea pig,oat
My guinea pig is sensitive to oat.,guinea pig,oat
My guinea pig is allergic to oat.,guinea pig,oat
My guinea pig cannot eat potato.,guinea pig,potato
My guinea pig is sensitive to potato.,guinea pig,potato
My guinea pig is allergic to potato.,guinea pig,potato
My cat cannot eat pea.,cat,pea
My cat is sensitive to pea.,cat,pea
My cat is allergic to pea.,cat,pea
My dog cannot eat pumpkin.,dog,pumpkin
My dog is sensitive to pumpkin.,dog,pumpkin
My dog is allergic to pumpkin.,dog,pumpkin
My dog cannot eat wheat.,dog,wheat
My dog is sensitive to wheat.,dog,wheat
My dog is allergic to wheat.,dog,wheat
My dog cannot eat egg.,dog,egg
My dog is sensitive to egg.,dog,egg
My dog is allergic to egg.,dog,egg
My dog cannot eat cranberry.,dog,cranberry
My dog is sensitive to cranberry.,dog,cranberry
My dog is allergic to cranberry.,dog,cranberry
My bird cannot eat fruit.,bird,fruit
My bird is sensitive to fruit.,bird,fruit
My bird is allergic to fruit.,bird,fruit
My cat cannot eat cranberry.,cat,cranberry
My cat is sensitive to cranberry.,cat,cranberry
My cat is allergic to cranberry.,cat,cranberry
My guinea pig cannot eat milk.,guinea pig,milk
My guinea pig is sensitive to milk.,guinea pig,milk
